# annotation_report_id,image metadata_id, observer_id, file_name, vehicle_state_id, latitude (ddmm.mmmmmm N), longitude (dddmm.mmmmmm W), altitude (m), depth (m), note_id, shape, text title, MouseDownX,MouseDownY,MouseUpX, MouseUpY, text state
#-------------------------------------
164987,350596,10,frame000001_1436665298_727733.ppm,357561,4048.904906N,06908.791371W,2.540000000000,63.860000000000,211329,point,Scallop,319,253,319,253,alive
164987,350596,10,frame000001_1436665298_727733.ppm,357561,4048.904906N,06908.791371W,2.540000000000,63.860000000000,211330,point,Scallop,239,131,239,131,alive
164988,350600,10,frame000009_1436665300_632815.ppm,357565,4048.906535N,06908.791221W,2.547600000000,63.860000000000,211331,point,Scallop,594,558,594,558,alive
164988,350600,10,frame000009_1436665300_632815.ppm,357565,4048.906535N,06908.791221W,2.547600000000,63.860000000000,211332,point,Scallop,686,183,686,183,dead
164989,350604,10,frame000017_1436665302_538021.ppm,357569,4048.908173N,06908.791122W,2.590000000000,63.870000000000,211333,point,Scallop,589,524,589,524,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211334,point,Scallop,570,172,570,172,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211335,point,Scallop,174,198,174,198,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211336,point,Scallop,55,386,55,386,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211337,point,Scallop,202,530,202,530,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211338,point,Scallop,157,106,157,106,alive
164991,350612,10,frame000033_1436665306_348315.ppm,357577,4048.911452N,06908.791010W,2.510000000000,63.890000000000,211339,point,Scallop,79,291,79,291,alive
164991,350612,10,frame000033_1436665306_348315.ppm,357577,4048.911452N,06908.791010W,2.510000000000,63.890000000000,211340,point,Scallop,193,403,193,403,alive
164992,350616,10,frame000041_1436665308_249514.ppm,357581,4048.913121N,06908.790990W,2.510000000000,63.880000000000,211341,point,Scallop,551,317,551,317,alive
164992,350616,10,frame000041_1436665308_249514.ppm,357581,4048.913121N,06908.790990W,2.510000000000,63.880000000000,211342,point,Scallop,449,295,449,295,alive
164994,350624,10,frame000057_1436665312_055809.ppm,357589,4048.915165N,06908.791005W,2.480000000000,63.870000000000,211343,point,Scallop,426,478,426,478,alive
164995,350628,10,frame000065_1436665313_961008.ppm,357593,4048.918041N,06908.790979W,2.410000000000,63.870000000000,211344,point,Scallop,684,507,684,507,alive
164995,350628,10,frame000065_1436665313_961008.ppm,357593,4048.918041N,06908.790979W,2.410000000000,63.870000000000,211345,point,Scallop,183,95,183,95,alive
164996,350632,10,frame000073_1436665315_866221.ppm,357597,4048.919697N,06908.791011W,2.330000000000,63.830000000000,211346,point,Scallop,281,47,281,47,alive
164997,350636,10,frame000081_1436665317_771296.ppm,357601,4048.921325N,06908.790969W,2.400000000000,63.720000000000,211347,point,Scallop,776,232,776,232,alive
164999,350644,10,frame000097_1436665321_573708.ppm,357609,4048.924607N,06908.790954W,2.502050000000,63.660000000000,211348,point,Scallop,774,279,774,279,alive
165000,350648,10,frame000105_1436665323_478790.ppm,357613,4048.926230N,06908.790924W,2.490000000000,63.660000000000,211349,point,Scallop,544,33,544,33,dead
165001,350652,10,frame000113_1436665325_387996.ppm,357617,4048.927871N,06908.790939W,2.510000000000,63.650000000000,211350,point,Scallop,508,593,508,593,alive
165002,350656,10,frame000121_1436665327_293208.ppm,357621,4048.929529N,06908.790944W,2.510000000000,63.630000000000,211351,point,Scallop,30,321,30,321,alive
165002,350656,10,frame000121_1436665327_293208.ppm,357621,4048.929529N,06908.790944W,2.510000000000,63.630000000000,211352,point,Scallop,792,260,792,260,alive
165006,350672,10,frame000153_1436665334_913783.ppm,357637,4048.936097N,06908.790949W,2.540000000000,63.580000000000,211353,point,Scallop,321,213,321,213,alive
165006,350672,10,frame000153_1436665334_913783.ppm,357637,4048.936097N,06908.790949W,2.540000000000,63.580000000000,211354,point,Scallop,223,320,223,320,alive
165007,350676,10,frame000161_1436665336_818984.ppm,357641,4048.937760N,06908.790984W,2.550000000000,63.617800000000,211355,point,Scallop,79,125,79,125,alive
165007,350676,10,frame000161_1436665336_818984.ppm,357641,4048.937760N,06908.790984W,2.550000000000,63.617800000000,211356,point,Scallop,114,28,114,28,alive
165008,350680,10,frame000169_1436665338_720191.ppm,357645,4048.939398N,06908.790962W,2.540000000000,63.620000000000,211357,point,Scallop,401,194,401,194,alive
165010,350688,10,frame000185_1436665342_534477.ppm,357653,4048.942640N,06908.790914W,2.420690000000,63.660000000000,211358,point,Scallop,351,166,351,166,alive
165012,350696,10,frame000201_1436665346_344765.ppm,357661,4048.945912N,06908.790924W,2.480000000000,63.550000000000,211359,point,Scallop,549,123,549,123,alive
165012,350696,10,frame000201_1436665346_344765.ppm,357661,4048.945912N,06908.790924W,2.480000000000,63.550000000000,211360,point,Scallop,759,114,759,114,alive
165013,350700,10,frame000209_1436665348_245972.ppm,357665,4048.947545N,06908.790914W,2.490000000000,63.480000000000,211361,point,Shark,170,18,170,18,alive
165015,350708,10,frame000225_1436665352_060261.ppm,357673,4048.950738N,06908.790904W,2.600000000000,63.300000000000,211362,point,Scallop,159,278,159,278,alive
165015,350708,10,frame000225_1436665352_060261.ppm,357673,4048.950738N,06908.790904W,2.600000000000,63.300000000000,211363,point,Scallop,239,473,239,473,alive
165017,350716,10,frame000241_1436665355_866672.ppm,357681,4048.953799N,06908.790944W,2.190000000000,63.712200000000,211364,point,Scallop,303,573,303,573,alive
165017,350716,10,frame000241_1436665355_866672.ppm,357681,4048.953799N,06908.790944W,2.190000000000,63.712200000000,211365,point,Scallop,270,455,270,455,dead
165019,350724,10,frame000257_1436665359_680960.ppm,357689,4048.957012N,06908.790909W,2.420000000000,63.372200000000,211366,point,Scallop,464,482,464,482,alive
165020,350728,10,frame000265_1436665361_590166.ppm,357693,4048.958632N,06908.790944W,2.570000000000,63.320000000000,211367,point,Scallop,331,442,331,442,alive
165020,350728,10,frame000265_1436665361_590166.ppm,357693,4048.958632N,06908.790944W,2.570000000000,63.320000000000,211368,point,Scallop,150,150,150,150,alive
165022,350736,10,frame000281_1436665365_396459.ppm,357701,4048.961886N,06908.790929W,2.540000000000,63.370000000000,211369,point,Dogfish shark,562,502,562,502,alive
165022,350736,10,frame000281_1436665365_396459.ppm,357701,4048.961886N,06908.790929W,2.540000000000,63.370000000000,211370,point,Scallop,337,55,337,55,alive
165022,350736,10,frame000281_1436665365_396459.ppm,357701,4048.961886N,06908.790929W,2.540000000000,63.370000000000,211371,point,Scallop,786,275,786,275,alive
165022,350736,10,frame000281_1436665365_396459.ppm,357701,4048.961886N,06908.790929W,2.540000000000,63.370000000000,211372,point,Scallop,200,34,200,34,alive
165024,350744,10,frame000297_1436665369_194740.ppm,357709,4048.965079N,06908.790901W,2.591260000000,63.420000000000,211373,point,Scallop,56,532,56,532,alive
165026,350752,10,frame000313_1436665373_001152.ppm,357717,4048.968300N,06908.790939W,2.560000000000,63.500000000000,211374,point,Scallop,464,222,464,222,alive
165027,350756,10,frame000321_1436665374_906240.ppm,357721,4048.969910N,06908.790959W,2.540000000000,63.520000000000,211375,point,Scallop,353,299,353,299,alive
165027,350756,10,frame000321_1436665374_906240.ppm,357721,4048.969910N,06908.790959W,2.540000000000,63.520000000000,211376,point,Scallop,404,523,404,523,dead
165028,350760,10,frame000329_1436665376_811440.ppm,357725,4048.970982N,06908.790934W,2.540000000000,63.520000000000,211377,point,Scallop,254,463,254,463,alive
165028,350760,10,frame000329_1436665376_811440.ppm,357725,4048.970982N,06908.790934W,2.540000000000,63.520000000000,211378,point,Scallop,310,461,310,461,alive
165028,350760,10,frame000329_1436665376_811440.ppm,357725,4048.970982N,06908.790934W,2.540000000000,63.520000000000,211379,point,Scallop,678,572,678,572,alive
165030,350768,10,frame000345_1436665380_625728.ppm,357733,4048.974747N,06908.790924W,2.560000000000,63.571900000000,211380,point,Scallop,104,170,104,170,alive
165030,350768,10,frame000345_1436665380_625728.ppm,357733,4048.974747N,06908.790924W,2.560000000000,63.571900000000,211381,point,Scallop,530,183,530,183,alive
165030,350768,10,frame000345_1436665380_625728.ppm,357733,4048.974747N,06908.790924W,2.560000000000,63.571900000000,211382,point,Scallop,638,538,638,538,alive
165032,350776,10,frame000361_1436665384_432141.ppm,357741,4048.977962N,06908.790939W,2.571380000000,63.640000000000,211383,point,Scallop,554,143,554,143,alive
165032,350776,10,frame000361_1436665384_432141.ppm,357741,4048.977962N,06908.790939W,2.571380000000,63.640000000000,211384,point,Scallop,789,198,789,198,alive
165033,350780,10,frame000369_1436665386_341228.ppm,357745,,,0.000000000000,0.000000000000,211385,point,Scallop,197,293,197,293,alive
165034,350784,10,frame000377_1436665388_242428.ppm,357749,4048.979497N,06908.790944W,2.590760000000,63.640000000000,211386,point,Scallop,436,355,436,355,alive
165034,350784,10,frame000377_1436665388_242428.ppm,357749,4048.979497N,06908.790944W,2.590760000000,63.640000000000,211387,point,Scallop,159,97,159,97,alive
165035,350788,10,frame000385_1436665390_147634.ppm,357753,4048.982822N,06908.790959W,2.610000000000,63.720000000000,211388,point,Scallop,632,148,632,148,alive
165035,350788,10,frame000385_1436665390_147634.ppm,357753,4048.982822N,06908.790959W,2.610000000000,63.720000000000,211389,point,Scallop,689,383,689,383,alive
165036,350792,10,frame000393_1436665392_048722.ppm,357757,4048.984451N,06908.790990W,2.621480000000,63.760000000000,211390,point,Scallop,195,574,195,574,alive
165036,350792,10,frame000393_1436665392_048722.ppm,357757,4048.984451N,06908.790990W,2.621480000000,63.760000000000,211391,point,Scallop,328,433,328,433,alive
165037,350796,10,frame000401_1436665393_957922.ppm,357761,4048.986092N,06908.790984W,2.570000000000,63.790000000000,211392,point,Scallop,510,507,510,507,alive
165037,350796,10,frame000401_1436665393_957922.ppm,357761,4048.986092N,06908.790984W,2.570000000000,63.790000000000,211393,point,Scallop,80,591,80,591,alive
165037,350796,10,frame000401_1436665393_957922.ppm,357761,4048.986092N,06908.790984W,2.570000000000,63.790000000000,211394,point,Scallop,202,119,202,119,alive
165038,350800,10,frame000409_1436665395_863129.ppm,357765,4048.987708N,06908.791000W,2.574600000000,63.820000000000,211395,point,Scallop,702,226,702,226,alive
165039,350804,10,frame000417_1436665397_768209.ppm,357769,4048.988075N,06908.790996W,2.570000000000,63.820000000000,211396,point,Scallop,340,196,340,196,alive
165039,350804,10,frame000417_1436665397_768209.ppm,357769,4048.988075N,06908.790996W,2.570000000000,63.820000000000,211397,point,Scallop,765,42,765,42,alive
165040,350808,10,frame000425_1436665399_669416.ppm,357773,4048.990910N,06908.790964W,2.580000000000,63.900000000000,211398,point,Scallop,308,96,308,96,alive
165040,350808,10,frame000425_1436665399_669416.ppm,357773,4048.990910N,06908.790964W,2.580000000000,63.900000000000,211399,point,Scallop,277,21,277,21,dead
165040,350808,10,frame000425_1436665399_669416.ppm,357773,4048.990910N,06908.790964W,2.580000000000,63.900000000000,211400,point,Scallop,656,468,656,468,dead
165041,350812,10,frame000433_1436665401_574628.ppm,357777,4048.992307N,06908.790979W,2.600000000000,63.920000000000,211401,point,Scallop,591,432,591,432,alive
165041,350812,10,frame000433_1436665401_574628.ppm,357777,4048.992307N,06908.790979W,2.600000000000,63.920000000000,211402,point,Scallop,494,557,494,557,dead
165042,350816,10,frame000441_1436665403_475703.ppm,357781,4048.992332N,06908.790979W,2.600000000000,63.920000000000,211403,point,Scallop,728,434,728,434,alive
165043,350820,10,frame000449_1436665405_380909.ppm,357785,4048.995798N,06908.790995W,2.640000000000,63.990000000000,211404,point,Scallop,362,383,362,383,alive
165043,350820,10,frame000449_1436665405_380909.ppm,357785,4048.995798N,06908.790995W,2.640000000000,63.990000000000,211405,point,Scallop,704,466,704,466,dead
165044,350824,10,frame000457_1436665407_286121.ppm,357789,4048.996670N,06908.791000W,2.630000000000,64.010000000000,211406,point,Scallop,515,133,515,133,alive
165044,350824,10,frame000457_1436665407_286121.ppm,357789,4048.996670N,06908.791000W,2.630000000000,64.010000000000,211407,point,Scallop,782,61,782,61,alive
165046,350832,10,frame000473_1436665411_096403.ppm,357797,4049.000641N,06908.790964W,2.660000000000,64.140000000000,211408,point,Scallop,296,305,296,305,alive
165047,350836,10,frame000481_1436665413_001615.ppm,357801,4049.002271N,06908.790959W,2.610000000000,64.200000000000,211409,point,Scallop,581,367,581,367,alive
165047,350836,10,frame000481_1436665413_001615.ppm,357801,4049.002271N,06908.790959W,2.610000000000,64.200000000000,211410,point,Dogfish shark,149,582,149,582,alive
165047,350836,10,frame000481_1436665413_001615.ppm,357801,4049.002271N,06908.790959W,2.610000000000,64.200000000000,211411,point,Scallop,404,79,404,79,alive
165048,350840,10,frame000489_1436665414_910691.ppm,357805,4049.003867N,06908.790969W,2.580000000000,64.270000000000,211412,point,Scallop,713,179,713,179,dead
165049,350844,10,frame000497_1436665416_819896.ppm,357809,4049.005196N,06908.790954W,2.630000000000,64.310000000000,211413,point,Scallop,321,422,321,422,alive
