# annotation_report_id,image metadata_id, observer_id, file_name, vehicle_state_id, latitude (ddmm.mmmmmm N), longitude (dddmm.mmmmmm W), altitude (m), depth (m), note_id, shape, text title, MouseDownX,MouseDownY,MouseUpX, MouseUpY, text state
#-------------------------------------
164987,350596,10,frame000001_1436665298_727733.ppm,357561,4048.904906N,06908.791371W,2.540000000000,63.860000000000,211329,point,Scallop,470,369,558,452,alive
164987,350596,10,frame000001_1436665298_727733.ppm,357561,4048.904906N,06908.791371W,2.540000000000,63.860000000000,211330,point,Scallop,341,171,424,249,alive
164988,350600,10,frame000009_1436665300_632815.ppm,357565,4048.906535N,06908.791221W,2.547600000000,63.860000000000,211331,point,Scallop,924,855,988,919,alive
164988,350600,10,frame000009_1436665300_632815.ppm,357565,4048.906535N,06908.791221W,2.547600000000,63.860000000000,211332,point,Scallop,1055,254,1120,324,dead
164989,350604,10,frame000017_1436665302_538021.ppm,357569,4048.908173N,06908.791122W,2.590000000000,63.870000000000,211333,point,Scallop,906,806,973,874,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211334,point,Scallop,856,236,932,317,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211335,point,Scallop,253,279,324,353,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211336,point,Scallop,47,586,113,654,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211337,point,Scallop,287,823,360,891,alive
164990,350608,10,frame000025_1436665304_443226.ppm,357573,4048.909829N,06908.791040W,2.550000000000,63.880000000000,211338,point,Scallop,236,133,294,197,alive
164991,350612,10,frame000033_1436665306_348315.ppm,357577,4048.911452N,06908.791010W,2.510000000000,63.890000000000,211339,point,Scallop,88,437,169,520,alive
164991,350612,10,frame000033_1436665306_348315.ppm,357577,4048.911452N,06908.791010W,2.510000000000,63.890000000000,211340,point,Scallop,290,627,335,674,alive
164992,350616,10,frame000041_1436665308_249514.ppm,357581,4048.913121N,06908.790990W,2.510000000000,63.880000000000,211341,point,Scallop,848,479,913,544,alive
164992,350616,10,frame000041_1436665308_249514.ppm,357581,4048.913121N,06908.790990W,2.510000000000,63.880000000000,211342,point,Scallop,683,418,752,489,alive
164994,350624,10,frame000057_1436665312_055809.ppm,357589,4048.915165N,06908.791005W,2.480000000000,63.870000000000,211343,point,Scallop,652,736,703,789,alive
164995,350628,10,frame000065_1436665313_961008.ppm,357593,4048.918041N,06908.790979W,2.410000000000,63.870000000000,211344,point,Scallop,1039,778,1116,852,alive
164995,350628,10,frame000065_1436665313_961008.ppm,357593,4048.918041N,06908.790979W,2.410000000000,63.870000000000,211345,point,Scallop,260,132,314,187,alive
164996,350632,10,frame000073_1436665315_866221.ppm,357597,4048.919697N,06908.791011W,2.330000000000,63.830000000000,211346,point,Scallop,423,32,492,104,alive
164997,350636,10,frame000081_1436665317_771296.ppm,357601,4048.921325N,06908.790969W,2.400000000000,63.720000000000,211347,point,Scallop,1215,350,1268,401,alive
164999,350644,10,frame000097_1436665321_573708.ppm,357609,4048.924607N,06908.790954W,2.502050000000,63.660000000000,211348,point,Scallop,1212,419,1268,474,alive
165000,350648,10,frame000105_1436665323_478790.ppm,357613,4048.926230N,06908.790924W,2.490000000000,63.660000000000,211349,point,Scallop,812,4,907,95,dead
165001,350652,10,frame000113_1436665325_387996.ppm,357617,4048.927871N,06908.790939W,2.510000000000,63.650000000000,211350,point,Scallop,770,920,852,990,alive
165002,350656,10,frame000121_1436665327_293208.ppm,357621,4048.929529N,06908.790944W,2.510000000000,63.630000000000,211351,point,Scallop,1,468,82,557,alive
165002,350656,10,frame000121_1436665327_293208.ppm,357621,4048.929529N,06908.790944W,2.510000000000,63.630000000000,211352,point,Scallop,1227,388,1294,457,alive
165006,350672,10,frame000153_1436665334_913783.ppm,357637,4048.936097N,06908.790949W,2.540000000000,63.580000000000,211353,point,Scallop,466,294,546,379,alive
165006,350672,10,frame000153_1436665334_913783.ppm,357637,4048.936097N,06908.790949W,2.540000000000,63.580000000000,211354,point,Scallop,336,487,382,534,alive
165007,350676,10,frame000161_1436665336_818984.ppm,357641,4048.937760N,06908.790984W,2.550000000000,63.617800000000,211355,point,Scallop,81,157,162,236,alive
165007,350676,10,frame000161_1436665336_818984.ppm,357641,4048.937760N,06908.790984W,2.550000000000,63.617800000000,211356,point,Scallop,145,7,215,72,alive
165008,350680,10,frame000169_1436665338_720191.ppm,357645,4048.939398N,06908.790962W,2.540000000000,63.620000000000,211357,point,Scallop,596,268,679,355,alive
165010,350688,10,frame000185_1436665342_534477.ppm,357653,4048.942640N,06908.790914W,2.420690000000,63.660000000000,211358,point,Scallop,510,222,601,316,alive
165012,350696,10,frame000201_1436665346_344765.ppm,357661,4048.945912N,06908.790924W,2.480000000000,63.550000000000,211359,point,Scallop,839,160,924,247,alive
165012,350696,10,frame000201_1436665346_344765.ppm,357661,4048.945912N,06908.790924W,2.480000000000,63.550000000000,211360,point,Scallop,1183,156,1244,223,alive
165013,350700,10,frame000209_1436665348_245972.ppm,357665,4048.947545N,06908.790914W,2.490000000000,63.480000000000,211361,point,Shark,170,18,170,18,alive
165015,350708,10,frame000225_1436665352_060261.ppm,357673,4048.950738N,06908.790904W,2.600000000000,63.300000000000,211362,point,Scallop,227,402,304,484,alive
165015,350708,10,frame000225_1436665352_060261.ppm,357673,4048.950738N,06908.790904W,2.600000000000,63.300000000000,211363,point,Scallop,350,726,405,779,alive
165017,350716,10,frame000241_1436665355_866672.ppm,357681,4048.953799N,06908.790944W,2.190000000000,63.712200000000,211364,point,Scallop,462,875,526,940,alive
165017,350716,10,frame000241_1436665355_866672.ppm,357681,4048.953799N,06908.790944W,2.190000000000,63.712200000000,211365,point,Scallop,404,703,466,761,dead
165019,350724,10,frame000257_1436665359_680960.ppm,357689,4048.957012N,06908.790909W,2.420000000000,63.372200000000,211366,point,Scallop,704,743,766,808,alive
165020,350728,10,frame000265_1436665361_590166.ppm,357693,4048.958632N,06908.790944W,2.570000000000,63.320000000000,211367,point,Scallop,497,671,556,736,alive
165020,350728,10,frame000265_1436665361_590166.ppm,357693,4048.958632N,06908.790944W,2.570000000000,63.320000000000,211368,point,Scallop,198,197,260,263,alive
165022,350736,10,frame000281_1436665365_396459.ppm,357701,4048.961886N,06908.790929W,2.540000000000,63.370000000000,211369,point,Dogfish shark,562,502,562,502,alive
